[2023-06-12T01:26:27] T = 1050000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.2 | Avg. Q: -5.810122803010047 | Avg. Overlap: 0.04345476141255594
[2023-06-12T01:27:46] T = 1075000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.3 | Avg. Q: -5.820017220929265 | Avg. Overlap: 0.02661955240670069
[2023-06-12T01:29:05] T = 1100000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.6 | Avg. Q: -5.740860257767141 | Avg. Overlap: 0.02913168582186488
[2023-06-12T01:30:24] T = 1125000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.6 | Avg. Q: -5.929902958352119 | Avg. Overlap: 0.012415391023638447
[2023-06-12T01:31:43] T = 1150000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.3 | Avg. Q: -5.848420388843865 | Avg. Overlap: 0.03931223728798385
[2023-06-12T01:33:02] T = 1175000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.9 | Avg. Q: -5.73725097681582 | Avg. Overlap: 0.018685567010309278
[2023-06-12T01:34:20] T = 1200000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.8 | Avg. Q: -5.701940450597554 | Avg. Overlap: 0.0163265306122449
[2023-06-12T01:35:39] T = 1225000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.9 | Avg. Q: -5.905521182611585 | Avg. Overlap: 0.036794844253490874
[2023-06-12T01:36:58] T = 1250000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -139.9 | Avg. Q: -5.820676744759083 | Avg. Overlap: 0.1882773173894885
[2023-06-12T01:38:17] T = 1275000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.8 | Avg. Q: -5.901460215970874 | Avg. Overlap: 0.01661289800837947
[2023-06-12T01:39:36] T = 1300000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.5 | Avg. Q: -5.827503917686641 | Avg. Overlap: 0.026584998925424458
[2023-06-12T01:40:54] T = 1325000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.4 | Avg. Q: -5.73432895006612 | Avg. Overlap: 0.026904577691811732
[2023-06-12T01:42:13] T = 1350000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.5 | Avg. Q: -5.904038008026779 | Avg. Overlap: 0.05123656888437369
[2023-06-12T01:43:33] T = 1375000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -5.9546559372805055 | Avg. Overlap: 0.04150865722139267
[2023-06-12T01:44:52] T = 1400000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.8 | Avg. Q: -5.804938535083085 | Avg. Overlap: 0.03773996614773394
[2023-06-12T01:46:11] T = 1425000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.2 | Avg. Q: -5.953097810994834 | Avg. Overlap: 0.024830411817467084
[2023-06-12T01:47:30] T = 1450000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.0 | Avg. Q: -5.894552413754165 | Avg. Overlap: 0.020774229947162277
[2023-06-12T01:48:49] T = 1475000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.2 | Avg. Q: -5.815922600377351 | Avg. Overlap: 0.022533136966126653
[2023-06-12T01:50:08] T = 1500000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.2 | Avg. Q: -5.929021377842873 | Avg. Overlap: 0.022060606060606062
[2023-06-12T01:51:41] T = 25000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -4.9 | Avg. Q: -13.077225354634225 | Avg. Overlap: 0.04244092042581678
[2023-06-12T01:53:15] T = 50000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -1.8 | Avg. Q: -13.285587028592825 | Avg. Overlap: 0.01638566218443767
[2023-06-12T01:54:48] T = 75000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -1.7 | Avg. Q: -12.978557427126914 | Avg. Overlap: 0.014539649220472222
[2023-06-12T01:56:23] T = 100000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.3 | Avg. Q: -12.84754471282661 | Avg. Overlap: 0.02116977236030073
[2023-06-12T01:57:57] T = 125000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.8 | Avg. Q: -12.843052642125636 | Avg. Overlap: 0.023425324675324675
[2023-06-12T01:59:32] T = 150000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -24.5 | Avg. Q: -12.77229321834445 | Avg. Overlap: 0.09681108696288962
[2023-06-12T02:01:06] T = 175000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -4.5 | Avg. Q: -12.771861370533705 | Avg. Overlap: 0.03713075919287372
[2023-06-12T02:02:39] T = 200000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.4 | Avg. Q: -12.844967551447452 | Avg. Overlap: 0.02914605040838813
[2023-06-12T02:04:13] T = 225000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.1 | Avg. Q: -12.600561821777374 | Avg. Overlap: 0.024726175477553004
[2023-06-12T02:05:46] T = 250000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -12.690865867331624 | Avg. Overlap: 0.019071984499941706
[2023-06-12T02:07:20] T = 275000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -12.997122748132796 | Avg. Overlap: 0.019252043539842847
[2023-06-12T02:08:54] T = 300000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.8 | Avg. Q: -13.096083989657462 | Avg. Overlap: 0.030364125572277252
[2023-06-12T02:10:29] T = 325000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.5 | Avg. Q: -12.739345578871667 | Avg. Overlap: 0.03217160211249802
[2023-06-12T02:12:03] T = 350000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -4.7 | Avg. Q: -12.769697066649794 | Avg. Overlap: 0.04056038020236112
[2023-06-12T02:13:38] T = 375000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.9 | Avg. Q: -12.61763919587806 | Avg. Overlap: 0.023829037116701934
[2023-06-12T02:15:12] T = 400000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.7 | Avg. Q: -12.761353885911404 | Avg. Overlap: 0.03128986136680721
[2023-06-12T02:16:46] T = 425000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.4 | Avg. Q: -12.567211649306119 | Avg. Overlap: 0.021840651956924632
[2023-06-12T02:18:19] T = 450000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.6 | Avg. Q: -12.64125443907827 | Avg. Overlap: 0.03032135734686372
[2023-06-12T02:19:54] T = 475000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.4 | Avg. Q: -12.800519913170486 | Avg. Overlap: 0.029391785799590425
[2023-06-12T02:21:27] T = 500000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.1 | Avg. Q: -12.347266513295471 | Avg. Overlap: 0.02740006553079948
[2023-06-12T02:23:03] T = 525000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -12.340565857235342 | Avg. Overlap: 0.01917696296487446
[2023-06-12T02:24:36] T = 550000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.7 | Avg. Q: -12.572246467728167 | Avg. Overlap: 0.024667719586032873
[2023-06-12T02:26:10] T = 575000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -12.750409823026509 | Avg. Overlap: 0.018175136637743318
[2023-06-12T02:27:44] T = 600000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.5 | Avg. Q: -12.619377148818225 | Avg. Overlap: 0.022691486651856337
[2023-06-12T02:29:17] T = 625000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -1.9 | Avg. Q: -12.445339114319534 | Avg. Overlap: 0.01627387436356046
[2023-06-12T02:30:50] T = 650000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -1.6 | Avg. Q: -12.563121858213098 | Avg. Overlap: 0.014702508579914272
[2023-06-12T02:32:24] T = 675000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.9 | Avg. Q: -12.599081598758698 | Avg. Overlap: 0.0241536107339737
[2023-06-12T02:33:59] T = 700000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.3 | Avg. Q: -12.400767707038671 | Avg. Overlap: 0.019142299245510256
[2023-06-12T02:35:33] T = 725000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.7 | Avg. Q: -12.63036622871086 | Avg. Overlap: 0.024770396925914352
[2023-06-12T02:37:08] T = 750000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.6 | Avg. Q: -12.584409982454032 | Avg. Overlap: 0.03214642134870585
[2023-06-12T02:38:43] T = 775000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.4 | Avg. Q: -12.68387764843367 | Avg. Overlap: 0.030295741985591058
[2023-06-12T02:40:16] T = 800000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.6 | Avg. Q: -12.61397814051062 | Avg. Overlap: 0.031067539662735406
[2023-06-12T02:41:49] T = 825000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -1.4 | Avg. Q: -12.932192627046257 | Avg. Overlap: 0.011016687303187458
[2023-06-12T02:43:23] T = 850000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -6.1 | Avg. Q: -12.751692004140466 | Avg. Overlap: 0.04829732871878255
[2023-06-12T02:44:57] T = 875000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.8 | Avg. Q: -12.910070169363172 | Avg. Overlap: 0.02545022900363648
[2023-06-12T02:46:30] T = 900000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -3.5 | Avg. Q: -12.846954119347036 | Avg. Overlap: 0.03110235196515791
[2023-06-12T02:48:03] T = 925000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -2.5 | Avg. Q: -12.74045377247408 | Avg. Overlap: 0.022019759800429677
[2023-06-12T02:49:37] T = 950000 / 3500000 | env: env3_Full_Info_Non_Rand_Size15_Rand_Starting_Pose_Obstacle | Avg. reward: -4.0 | Avg. Q: -12.663152427162975 | Avg. Overlap: 0.032127318979481984
